,Open,High,Low,Close,Adj Close,Volume
2020-06-15 09:30:00-04:00,83.3125,84.41124725341797,83.1449966430664,83.87999725341797,83.87999725341797,7867402
2020-06-15 10:30:00-04:00,83.875,84.44999694824219,83.5999984741211,84.30500030517578,84.30500030517578,4428346
2020-06-15 11:30:00-04:00,84.2925033569336,84.97624969482422,84.15499877929688,84.84500122070312,84.84500122070312,3921611
2020-06-15 12:30:00-04:00,84.84500122070312,85.15247344970703,84.7125015258789,84.9000015258789,84.9000015258789,2935243
2020-06-15 13:30:00-04:00,84.89250183105469,86.16999816894531,84.87249755859375,86.05249786376953,86.05249786376953,4562440
2020-06-15 14:30:00-04:00,86.05249786376953,86.19999694824219,85.55500030517578,85.63749694824219,85.63749694824219,3978550
2020-06-15 15:30:00-04:00,85.6429214477539,86.41999816894531,85.29750061035156,85.76750183105469,85.76750183105469,4133904
2020-06-16 09:30:00-04:00,87.86499786376953,88.2550277709961,87.26249694824219,87.95249938964844,87.95249938964844,10051867
2020-06-16 10:30:00-04:00,87.9625015258789,88.14250183105469,86.18000030517578,87.375,87.375,7749186
2020-06-16 11:30:00-04:00,87.40249633789062,87.90499877929688,87.26499938964844,87.63999938964844,87.63999938964844,4088881
2020-06-16 12:30:00-04:00,87.62999725341797,88.0,87.61499786376953,87.94750213623047,87.94750213623047,3879508
2020-06-16 13:30:00-04:00,87.92749786376953,88.30000305175781,87.68250274658203,88.04499816894531,88.04499816894531,4591836
2020-06-16 14:30:00-04:00,88.04125213623047,88.23750305175781,87.2925033569336,87.5999984741211,87.5999984741211,3925792
2020-06-16 15:30:00-04:00,87.52249908447266,88.08000183105469,87.4519271850586,88.05000305175781,88.05000305175781,3783402
2020-06-17 09:30:00-04:00,88.7874984741211,88.8499984741211,88.0824966430664,88.2925033569336,88.2925033569336,8571300
2020-06-17 10:30:00-04:00,88.31124877929688,88.67250061035156,88.15595245361328,88.37999725341797,88.37999725341797,3320778
2020-06-17 11:30:00-04:00,88.37999725341797,88.77249908447266,88.27999877929688,88.60099792480469,88.60099792480469,3027098
2020-06-17 12:30:00-04:00,88.59750366210938,88.80000305175781,88.58499908447266,88.73124694824219,88.73124694824219,2256520
2020-06-17 13:30:00-04:00,88.7300033569336,88.8125,88.55999755859375,88.70249938964844,88.70249938964844,2199442
2020-06-17 14:30:00-04:00,88.69999694824219,88.7699966430664,88.02002716064453,88.13999938964844,88.13999938964844,3225810
2020-06-17 15:30:00-04:00,88.14250183105469,88.3125,87.77249908447266,87.85275268554688,87.85275268554688,3418607
2020-06-18 09:30:00-04:00,87.85250091552734,88.25749969482422,87.71499633789062,87.8550033569336,87.8550033569336,5846547
2020-06-18 10:30:00-04:00,87.8550033569336,88.3550033569336,87.58000183105469,88.16427612304688,88.16427612304688,4019076
2020-06-18 11:30:00-04:00,88.1624984741211,88.208251953125,87.83999633789062,88.03250122070312,88.03250122070312,2209813
2020-06-18 12:30:00-04:00,88.03250122070312,88.10749816894531,87.82499694824219,87.9124984741211,87.9124984741211,1765992
2020-06-18 13:30:00-04:00,87.91000366210938,88.07749938964844,87.62999725341797,87.69584655761719,87.69584655761719,1970102
2020-06-18 14:30:00-04:00,87.69249725341797,87.81500244140625,87.30500030517578,87.57749938964844,87.57749938964844,3288566
2020-06-18 15:30:00-04:00,87.57125091552734,88.02749633789062,87.49500274658203,87.89749908447266,87.89749908447266,2826031
2020-06-19 09:30:00-04:00,88.65875244140625,89.13999938964844,88.52999877929688,88.66987609863281,88.66987609863281,11439393
