Open,High,Low,Close,Volume,Date
4.300000,4.415000,4.300000,4.410000,14465,2021-12-08T14:30:00Z
4.430000,4.430000,4.370000,4.370000,301,2021-12-08T14:35:00Z
4.379000,4.379000,4.350000,4.370000,2000,2021-12-08T14:40:00Z
4.330000,4.370000,4.330000,4.350000,3700,2021-12-08T14:45:00Z
4.380000,4.410000,4.360100,4.360100,3144,2021-12-08T14:50:00Z
4.360000,4.380000,4.265000,4.265000,13073,2021-12-08T14:55:00Z
4.270000,4.275000,4.260000,4.260000,1186,2021-12-08T15:00:00Z
4.250000,4.250000,4.241000,4.241000,733,2021-12-08T15:05:00Z
4.242800,4.242800,4.210200,4.220000,6301,2021-12-08T15:10:00Z
4.204000,4.220000,4.195000,4.215000,11271,2021-12-08T15:15:00Z
4.220000,4.250000,4.220000,4.250000,1500,2021-12-08T15:20:00Z
4.240000,4.240000,4.240000,4.240000,1906,2021-12-08T15:25:00Z
4.225000,4.225000,4.225000,4.225000,100,2021-12-08T15:30:00Z
4.210000,4.220000,4.200100,4.220000,10284,2021-12-08T15:35:00Z
4.220000,4.220000,4.180000,4.200000,2798,2021-12-08T15:40:00Z
4.175000,4.175000,4.150300,4.160000,13130,2021-12-08T15:45:00Z
4.170000,4.175000,4.160000,4.175000,1500,2021-12-08T15:50:00Z
4.190000,4.200000,4.190000,4.200000,1697,2021-12-08T15:55:00Z
4.200000,4.200000,4.190000,4.190000,1300,2021-12-08T16:00:00Z
4.200000,4.200000,4.195000,4.200000,2666,2021-12-08T16:05:00Z
4.200000,4.210000,4.195000,4.210000,2820,2021-12-08T16:10:00Z
4.220000,4.250000,4.220000,4.250000,1000,2021-12-08T16:15:00Z
4.259900,4.285000,4.259900,4.285000,6740,2021-12-08T16:20:00Z
4.280000,4.280000,4.280000,4.280000,100,2021-12-08T16:25:00Z
4.285000,4.285000,4.270000,4.270000,900,2021-12-08T16:30:00Z
4.270000,4.270000,4.270000,4.270000,0,2021-12-08T16:35:00Z
4.275000,4.275000,4.275000,4.275000,100,2021-12-08T16:40:00Z
4.261000,4.280000,4.240000,4.245000,21426,2021-12-08T16:45:00Z
4.230000,4.230000,4.200000,4.230000,7076,2021-12-08T16:50:00Z
4.260000,4.260000,4.200000,4.210000,4980,2021-12-08T16:55:00Z
4.210000,4.220000,4.210000,4.220000,2563,2021-12-08T17:00:00Z
4.260000,4.280000,4.260000,4.280000,6110,2021-12-08T17:05:00Z
4.280000,4.280000,4.280000,4.280000,1852,2021-12-08T17:10:00Z
4.300000,4.300000,4.300000,4.300000,100,2021-12-08T17:15:00Z
4.280000,4.280000,4.260000,4.260000,500,2021-12-08T17:20:00Z
4.260000,4.260000,4.260000,4.260000,0,2021-12-08T17:25:00Z
4.260000,4.270000,4.260000,4.260000,500,2021-12-08T17:30:00Z
4.250000,4.250000,4.240000,4.240000,2100,2021-12-08T17:35:00Z
4.240000,4.240000,4.240000,4.240000,0,2021-12-08T17:40:00Z
4.240000,4.240000,4.240000,4.240000,0,2021-12-08T17:45:00Z
4.240000,4.240000,4.240000,4.240000,0,2021-12-08T17:50:00Z
4.270000,4.270000,4.255000,4.255000,270,2021-12-08T17:55:00Z
4.270000,4.270000,4.270000,4.270000,100,2021-12-08T18:00:00Z
4.270000,4.270000,4.270000,4.270000,0,2021-12-08T18:05:00Z
4.260000,4.280000,4.240000,4.245000,5693,2021-12-08T18:10:00Z
4.279900,4.279900,4.279900,4.279900,2000,2021-12-08T18:15:00Z
4.285000,4.285000,4.285000,4.285000,843,2021-12-08T18:20:00Z
4.300000,4.320000,4.300000,4.315000,35300,2021-12-08T18:25:00Z
4.315000,4.360000,4.315000,4.360000,6150,2021-12-08T18:30:00Z
4.340000,4.370000,4.340000,4.355000,1470,2021-12-08T18:35:00Z
4.355000,4.370000,4.347200,4.347200,1400,2021-12-08T18:40:00Z
4.355000,4.370000,4.355000,4.370000,1020,2021-12-08T18:45:00Z
4.360000,4.360000,4.360000,4.360000,100,2021-12-08T18:50:00Z
4.360000,4.360000,4.330000,4.330000,1957,2021-12-08T18:55:00Z
4.325000,4.330000,4.320000,4.320000,862,2021-12-08T19:00:00Z
4.320000,4.320000,4.310000,4.315000,1658,2021-12-08T19:05:00Z
4.315000,4.315000,4.310000,4.310000,415,2021-12-08T19:10:00Z
4.310000,4.310000,4.310000,4.310000,0,2021-12-08T19:15:00Z
4.310000,4.310000,4.310000,4.310000,0,2021-12-08T19:20:00Z
4.300000,4.300000,4.300000,4.300000,100,2021-12-08T19:25:00Z
4.300000,4.300000,4.300000,4.300000,100,2021-12-08T19:30:00Z
