Open,High,Low,Close,Volume,Date
5.022000,5.090000,5.020000,5.080000,8724,2021-12-08T14:30:00Z
5.010000,5.030000,4.960000,4.980000,3250,2021-12-08T14:35:00Z
4.961800,5.170000,4.950000,5.110000,4260,2021-12-08T14:40:00Z
5.140000,5.183900,5.130000,5.150000,2215,2021-12-08T14:45:00Z
5.150100,5.150100,5.150100,5.150100,2000,2021-12-08T14:50:00Z
5.120000,5.130000,5.080000,5.080000,5101,2021-12-08T14:55:00Z
5.080000,5.080000,5.020100,5.020100,4000,2021-12-08T15:00:00Z
5.050000,5.090000,5.050000,5.075000,2750,2021-12-08T15:05:00Z
5.090000,5.090000,5.080000,5.080000,224,2021-12-08T15:10:00Z
5.095000,5.110000,5.095000,5.110000,800,2021-12-08T15:15:00Z
5.140000,5.150000,5.130100,5.136500,2690,2021-12-08T15:20:00Z
5.140000,5.160000,5.140000,5.160000,1350,2021-12-08T15:25:00Z
5.180000,5.180000,5.140800,5.155000,2500,2021-12-08T15:30:00Z
5.140000,5.172600,5.100000,5.160000,5234,2021-12-08T15:35:00Z
5.180000,5.180000,5.165000,5.165000,1100,2021-12-08T15:40:00Z
5.125000,5.140000,5.125000,5.140000,600,2021-12-08T15:45:00Z
5.150900,5.150900,5.150900,5.150900,100,2021-12-08T15:50:00Z
5.150000,5.160000,5.150000,5.160000,200,2021-12-08T15:55:00Z
5.141000,5.141000,5.140000,5.140000,300,2021-12-08T16:00:00Z
5.140000,5.160000,5.140000,5.160000,561,2021-12-08T16:05:00Z
5.160000,5.220000,5.160000,5.220000,5051,2021-12-08T16:10:00Z
5.220000,5.220000,5.190000,5.190000,1100,2021-12-08T16:15:00Z
5.200000,5.200000,5.180000,5.190000,600,2021-12-08T16:20:00Z
5.210000,5.210000,5.190000,5.190000,900,2021-12-08T16:25:00Z
5.195000,5.200000,5.180000,5.180000,1000,2021-12-08T16:30:00Z
5.180000,5.180000,5.180000,5.180000,100,2021-12-08T16:35:00Z
5.210000,5.210000,5.190000,5.190000,305,2021-12-08T16:40:00Z
5.170000,5.200000,5.170000,5.200000,1100,2021-12-08T16:45:00Z
5.160000,5.161000,5.130000,5.150000,3000,2021-12-08T16:50:00Z
5.150000,5.150000,5.130000,5.130000,630,2021-12-08T16:55:00Z
5.100000,5.160000,5.100000,5.160000,2600,2021-12-08T17:00:00Z
5.160000,5.160000,5.150000,5.160000,2200,2021-12-08T17:05:00Z
5.160000,5.160000,5.160000,5.160000,1100,2021-12-08T17:10:00Z
